first_name,last_name,dateOfBirth,sex,phone,JobTitle,department
Angelo,Gemelli,8/3/2004,Male,(611) 3563301,VP Marketing,Services
Dietrich,Rown,4/11/1980,Male,(320) 4095608,Senior Financial Analyst,Accounting
Mattheus,Goulder,2/22/1974,Male,(685) 8275141,Occupational Therapist,Support
Enoch,Titmuss,3/31/1952,Male,(722) 3507089,Senior Financial Analyst,Legal
Cyndi,Pitone,1/7/1972,Female,(142) 1365693,VP Sales,Services
Jerrylee,Audley,10/7/1999,Female,(772) 3118988,Electrical Engineer,Marketing
Quinton,Bjorkan,8/7/2017,Male,(355) 1557791,Software Test Engineer I,Business Development
Goldina,Coddington,11/16/1995,Female,(789) 7441768,Community Outreach Specialist,Engineering
Jaquelyn,Bills,10/29/2002,Female,(346) 5810513,Associate Professor,Product Management
Vito,Bernot,8/31/1957,Male,(205) 9522595,Data Coordiator,Services
Kevina,Gatty,6/17/2000,Female,(245) 5398087,Administrative Assistant II,Services
Eydie,Rickarsey,2/18/1988,Female,(987) 4533594,Senior Quality Engineer,Marketing
Rudyard,Beadle,7/21/1957,Male,(854) 3323922,Geologist I,Engineering
Ardelis,Swynfen,9/30/2009,Female,(776) 3307988,Civil Engineer,Marketing
Trudi,Lexa,10/17/2003,Female,(416) 2292434,Paralegal,Training
Ethelind,Akaster,12/7/1983,Female,(668) 4133342,GIS Technical Architect,Training
Judon,Gammie,2/6/1981,Male,(545) 2211908,Account Representative I,Sales
Stacia,Burden,8/13/1990,Female,(419) 6567847,Staff Scientist,Marketing
Aurilia,Angrove,2/7/1976,Female,(597) 6112368,Financial Advisor,Marketing
Lelia,Udale,11/10/1989,Female,(218) 1468114,Recruiter,Services
Lionello,Whayman,8/18/2008,Male,(457) 8121335,Mechanical Systems Engineer,Accounting
Nanny,Skeermer,2/18/1951,Female,(189) 6697582,Geologist II,Legal
Marlon,Pavlenkov,11/30/2016,Male,(892) 6456583,Executive Secretary,Product Management
Adrien,Hotson,7/28/1990,Male,(893) 6056404,Operator,Product Management
Klement,Tangye,11/29/1962,Male,(748) 8767665,Marketing Manager,Human Resources
Brit,Stamp,12/28/1982,Male,(824) 1272217,Recruiter,Marketing
Merilee,Behnecken,1/31/1987,Female,(619) 1901701,Assistant Manager,Marketing
Brew,Balm,11/5/1965,Male,(369) 9884671,Safety Technician IV,Engineering
Hilliard,Pina,11/14/1987,Male,(436) 3037262,Junior Executive,Research and Development
Yule,Trevon,4/30/2000,Male,(192) 2437431,Associate Professor,Engineering
Katine,Girth,9/27/1956,Female,(594) 4094142,Structural Analysis Engineer,Accounting
Verine,Ambage,7/25/2015,Female,(418) 8574149,Statistician III,Support
Gui,Maton,1/23/2007,Female,(631) 1027513,Staff Scientist,Product Management
